"source","target","value"
"Moontanman","iNow",443
"ydoaPs","swansont",420
"Moontanman","John Cuthber",376
"Moontanman","Phi for All",356
"ydoaPs","iNow",268
"Moontanman","ydoaPs",221
"ydoaPs","Phi for All",185
"Moontanman","swansont",171
"ydoaPs","Moontanman",143
"ydoaPs","John Cuthber",124
"Moontanman","imatfaal",119
"Moontanman","Ophiolite",117
"Moontanman","zapatos",113
"Moontanman","Arete",100
"A Tripolation","swansont",97
"Moontanman","mooeypoo",91
"ydoaPs","Cap'n Refsmmat",90
"Moontanman","doG",90
"Spyman","zapatos",87
"Moontanman","Ringer",83
"A Tripolation","ydoaPs",81
"A Tripolation","Phi for All",79
"A Tripolation","Cap'n Refsmmat",78
"Nouveau","PureGenius",72
"Spyman","cypress",-71
"Tus","rktpro",70
"Moontanman","ACG52",69
"Moontanman","Mr Skeptic",68
"mooeypoo","swansont",67
"Phi for All","iNow",67
"Moontanman","D H",66
"Tres Juicy","Moontanman",62
"imatfaal","iNow",62
"xyzt","md65536",-62
"ydoaPs","Mr Skeptic",61
"ydoaPs","mooeypoo",59
"A Tripolation","iNow",59
"imatfaal","Phi for All",59
"CaptainPanic","John Cuthber",58
"iNow","Moontanman",57
"imatfaal","John Cuthber",57
"Bignose","swansont",57
"Sato","EdEarl",55
"Moontanman","CaptainPanic",54
"ydoaPs","imatfaal",54
"Phi for All","swansont",52
"ydoaPs","D H",52
"Moontanman","Edtharan",52
"Moontanman","Marat",52
"Phi for All","imatfaal",52
